smiles,bandgap,formulas
c1ccc(-c2ccnc(-c3cc(-c4cc(-c5ccccc5)ccn4)cc(-n4cnc5cc(-c6ccc7ccc8ccccc8c7c6)ccc54)c3)c2)cc1,3.354,C49H32N4
Cc1cc(-c2cccc3c2sc2ccccc23)cc(C)c1-c1ccc2sc3ccc(-c4c(C)cc(-c5cccc6c5sc5ccccc56)cc4C)cc3c2c1,4.0888,C52H36S3
O=c1ccc2cc(-c3cncc4nccnc34)cc(-c3ccc4ccc5ccc(-c6cc(-c7cncc8nccnc78)cc7ccc(=O)oc67)cc5c4c3)c2o1,2.6304,C46H24N6O4
Cc1cc(-n2ccnc2)cc(C)c1-c1cc(-c2nc(-c3cc(-c4c(C)cc(-n5ccnc5)cc4C)cc(-c4c(C)cc(-n5ccnc5)cc4C)c3)nc(-c3cc(-c4c(C)cc(-n5ccnc5)cc4C)cc(-c4c(C)cc(-n5ccnc5)cc4C)c3)n2)cc(-c2c(C)cc(-n3ccnc3)cc2C)c1,3.277,C87H75N15
CSc1nnc(N(c2ccc(-c3c(C)cccc3C)cc2)c2c(C)cccc2C)n1-c1c(C)cccc1C,4.0195,C33H34N4S
c1cc(-c2cncc3nccnc23)cc(C2CCCC(n3cnc4c5ccccc5c5ccccc5c43)C2)c1,2.4803,C34H27N5
Cc1cc(-c2ccc(-c3ccccc3)cn2)cc(C)c1-c1ccc(-c2ccc3c(c2)c2cc(-c4ccc5c6ccccc6n(-c6ccccc6)c5c4)ccc2n3-c2ccccc2)cc1,3.6011,C61H43N3
CC1(C)c2ccccc2N(c2ccccc2)c2ccc(-n3c4ccc(-c5ccc(C(F)(F)F)c(C(F)(F)F)c5)cc4c4cc(-c5ccc(C(F)(F)F)c(C(F)(F)F)c5)ccc43)cc21,3.3456,C49H30F12N2
Cc1cc(-c2nncc3cccnc23)cc(C)c1-c1ccc(-n2ccc3ccccc32)cc1,2.8677,C29H22N4
Cc1c(-c2ccc(N(c3ccccc3)c3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc2)cccc1-c1cccc(-c2nc(-c3ccccc3)cc(-c3ccccc3)n2)c1,2.9045,C65H46N4
N#Cc1cc(C#N)cc(C2CCC(c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)cc3)CC2)c1,4.1795,C38H32N2Si
Fc1ccc2c(c1)c1cc(F)ccc1n2-c1cc(-c2cnc3ccccc3c2)cc(-n2c3ccc(F)cc3c3cc(F)ccc32)c1,3.2874,C39H21F4N3
Cc1cc(-c2cncc3nccnc23)c(C)cc1-c1ccc(-n2cccn2)cc1,3.0014,C24H19N5
COc1ccc(N(c2ccc(C(=O)c3cccc(-c4c(C)c(C)cc(C)c4C)c3)cc2)c2cc(C)cc(C)c2)cc1,3.1994,C38H37NO2
c1ccc2c(c1)c1cccnc1n2-c1cc(-c2ccc(-c3ccno3)cc2)cc(-n2c3ccccc3c3cccnc32)c1,3.5669,C37H23N5O
